book_title,category,base_url,status
business models for the data economy,data,https://www.oreilly.com/data/free/files/business-models-for-the-data-economy,offline
critical first 10 days as leader,free,https://www.oreilly.com/free/free/files/critical-first-10-days-as-leader,offline
css secrets collection,free,https://www.oreilly.com/free/free/files/css-secrets-collection,offline
transforms in css,free,https://www.oreilly.com/free/free/files/transforms-in-css,offline
designing for the internet of things,iot,https://www.oreilly.com/iot/free/files/designing-for-the-internet-of-things,offline
industrial internet,iot,https://www.oreilly.com/iot/free/files/industrial-internet,offline
user experience for iot,iot,https://www.oreilly.com/iot/free/files/user-experience-for-iot,offline
0636920033127,product,https://www.oreilly.com/product/free/files/0636920033127,offline
0636920039303,product,https://www.oreilly.com/product/free/files/0636920039303,offline
HTTP2 high perf browser networking,web-platform,https://www.oreilly.com/web-platform/free/files/HTTP2-high-perf-browser-networking,offline
compliance at speed,web-platform,https://www.oreilly.com/web-platform/free/files/compliance-at-speed,offline
effective performance engineering,web-platform,https://www.oreilly.com/web-platform/free/files/effective-performance-engineering,offline
optimizing cloud migration,web-platform,https://www.oreilly.com/web-platform/free/files/optimizing-cloud-migration,offline
real user measurements,web-platform,https://www.oreilly.com/web-platform/free/files/real-user-measurements,offline
transforms in css,web-platform,https://www.oreilly.com/web-platform/free/files/transforms-in-css,offline
web performance warrior,web-platform,https://www.oreilly.com/web-platform/free/files/web-performance-warrior,offline
webpage size speed perf,web-platform,https://www.oreilly.com/web-platform/free/files/webpage-size-speed-perf,offline
anomaly detection monitoring,webops,https://www.oreilly.com/webops/free/files/anomaly-detection-monitoring,offline
antifragile systems and teams,webops,https://www.oreilly.com/webops/free/files/antifragile-systems-and-teams,offline
are your networks ready for the iot,webops,https://www.oreilly.com/webops/free/files/are-your-networks-ready-for-the-iot,offline
beyond the twelve factor app,webops,https://www.oreilly.com/webops/free/files/beyond-the-twelve-factor-app,offline
bgp in the data center,webops,https://www.oreilly.com/webops/free/files/bgp-in-the-data-center,offline
building an optimized business,webops,https://www.oreilly.com/webops/free/files/building-an-optimized-business,offline
chatops,webops,https://www.oreilly.com/webops/free/files/chatops,offline
cloud native evolution,webops,https://www.oreilly.com/webops/free/files/cloud-native-evolution,offline
continuous delivery with windows and net,webops,https://www.oreilly.com/webops/free/files/continuous-delivery-with-windows-and-net,offline
devops for finance,webops,https://www.oreilly.com/webops/free/files/devops-for-finance,offline
devops hiring,webops,https://www.oreilly.com/webops/free/files/devops-hiring,offline
devops in practice,webops,https://www.oreilly.com/webops/free/files/devops-in-practice,offline
devopssec,webops,https://www.oreilly.com/webops/free/files/devopssec,offline
distributed development stack,webops,https://www.oreilly.com/webops/free/files/distributed-development-stack,offline
docker in the cloud,webops,https://www.oreilly.com/webops/free/files/docker-in-the-cloud,offline
docker networking and service delivery,webops,https://www.oreilly.com/webops/free/files/docker-networking-and-service-delivery,offline
docker security,webops,https://www.oreilly.com/webops/free/files/docker-security,offline
enterprise devops playbook,webops,https://www.oreilly.com/webops/free/files/enterprise-devops-playbook,offline
everything is distributed,webops,https://www.oreilly.com/webops/free/files/everything-is-distributed,offline
immutable infrastructure,webops,https://www.oreilly.com/webops/free/files/immutable-infrastructure,offline
kubernetes,webops,https://www.oreilly.com/webops/free/files/kubernetes,offline
learning from first responders,webops,https://www.oreilly.com/webops/free/files/learning-from-first-responders,offline
lightweight systems,webops,https://www.oreilly.com/webops/free/files/lightweight-systems,offline
mobile app analytics,webops,https://www.oreilly.com/webops/free/files/mobile-app-analytics,offline
modern web operations,webops,https://www.oreilly.com/webops/free/files/modern-web-operations,offline
monitoring distributed systems,webops,https://www.oreilly.com/webops/free/files/monitoring-distributed-systems,offline
network automation with ansible,webops,https://www.oreilly.com/webops/free/files/network-automation-with-ansible,offline
release engineering,webops,https://www.oreilly.com/webops/free/files/release-engineering,offline
serverless ops,webops,https://www.oreilly.com/webops/free/files/serverless-ops,offline
the human side of postmortems,webops,https://www.oreilly.com/webops/free/files/the-human-side-of-postmortems,offline
unikernels,webops,https://www.oreilly.com/webops/free/files/unikernels,offline
unsung tools of devops,webops,https://www.oreilly.com/webops/free/files/unsung-tools-of-devops,offline
